Window_Idx,Window_Start_Date,Strategy_Name,Stock_A,Stock_B,Execution_Code
1,2021-07-02,Basic: Distance,APP,ATO,W01_BAS
1,2021-07-02,Basic: Distance,AMZN,CAH,W01_BAS
1,2021-07-02,Basic: Distance,ADBE,COR,W01_BAS
1,2021-07-02,Basic: Distance,APP,T,W01_BAS
1,2021-07-02,Basic: Distance,ADBE,CAH,W01_BAS
1,2021-07-02,Basic: Distance,APP,CBOE,W01_BAS
1,2021-07-02,Basic: Distance,AMZN,MMM,W01_BAS
1,2021-07-02,Basic: Distance,BIIB,BSX,W01_BAS
1,2021-07-02,Basic: Distance,ADBE,MMM,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,LNT,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,T,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,COR,W01_BAS
1,2021-07-02,Basic: Cointegration,APP,CPB,W01_BAS
1,2021-07-02,Basic: Cointegration,APP,ATO,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,CAH,W01_BAS
1,2021-07-02,Basic: Cointegration,APP,T,W01_BAS
1,2021-07-02,Basic: Cointegration,APP,CBOE,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,MMM,W01_BAS
1,2021-07-02,Basic: Cointegration,BIIB,BSX,W01_BAS
1,2021-07-02,Basic: Cointegration,APP,LNT,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,MO,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,AVB,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,BXP,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,CPT,W01_BAS
1,2021-07-02,Basic: Cointegration,APP,COR,W01_BAS
1,2021-07-02,Basic: Cointegration,APP,AZO,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,ATO,W01_BAS
1,2021-07-02,Basic: Cointegration,AMZN,BK,W01_BAS
1,2021-07-02,Basic: Cointegration,APP,AVB,W01_BAS
1,2021-07-02,Advance: SVM,BIIB,BKR,W01_ADV
1,2021-07-02,Advance: SVM,AMD,BKR,W01_ADV
1,2021-07-02,Advance: SVM,AIG,AMZN,W01_ADV
1,2021-07-02,Advance: SVM,BIIB,CBRE,W01_ADV
1,2021-07-02,Advance: SVM,AMD,BAC,W01_ADV
1,2021-07-02,Advance: SVM,BIIB,CAT,W01_ADV
1,2021-07-02,Advance: SVM,APP,AVY,W01_ADV
1,2021-07-02,Advance: SVM,AMD,AXP,W01_ADV
1,2021-07-02,Advance: SVM,ABNB,AIZ,W01_ADV
1,2021-07-02,Advance: SVM,BIIB,SCHW,W01_ADV
1,2021-07-02,Advance: SVM,ABNB,ADM,W01_ADV
1,2021-07-02,Advance: SVM,AMZN,CAT,W01_ADV
1,2021-07-02,Advance: SVM,CBRE,CPB,W01_ADV
1,2021-07-02,Advance: SVM,ADBE,CAT,W01_ADV
1,2021-07-02,Advance: SVM,AXON,CNC,W01_ADV
1,2021-07-02,Advance: SVM,BIIB,CCL,W01_ADV
1,2021-07-02,Advance: SVM,AXP,CPB,W01_ADV
1,2021-07-02,Advance: SVM,AMZN,BAC,W01_ADV
1,2021-07-02,Advance: SVM,ABNB,AOS,W01_ADV
1,2021-07-02,Advance: SVM,AMD,BXP,W01_ADV
1,2021-07-02,Advance: Hybrid,ADBE,COR,W01_ADV
1,2021-07-02,Advance: Hybrid,AMZN,COR,W01_ADV
1,2021-07-02,Advance: Hybrid,ADBE,MMM,W01_ADV
1,2021-07-02,Advance: Hybrid,APP,T,W01_ADV
1,2021-07-02,Advance: Hybrid,AMZN,T,W01_ADV
1,2021-07-02,Advance: Hybrid,AMCR,APP,W01_ADV
1,2021-07-02,Advance: Hybrid,AMZN,MMM,W01_ADV
1,2021-07-02,Advance: Hybrid,ADBE,T,W01_ADV
1,2021-07-02,Advance: Hybrid,ADBE,BXP,W01_ADV
1,2021-07-02,Advance: Hybrid,BK,CHTR,W01_ADV
1,2021-07-02,Advance: Hybrid,AIZ,ANET,W01_ADV
1,2021-07-02,Advance: Hybrid,APP,AZO,W01_ADV
1,2021-07-02,Advance: Hybrid,ADBE,BK,W01_ADV
1,2021-07-02,Advance: Hybrid,AMZN,BXP,W01_ADV
1,2021-07-02,Advance: Hybrid,BK,CDNS,W01_ADV
1,2021-07-02,Advance: Hybrid,ADBE,CNC,W01_ADV
1,2021-07-02,Advance: Hybrid,BIIB,LNT,W01_ADV
1,2021-07-02,Advance: Hybrid,ADBE,ALL,W01_ADV
1,2021-07-02,Advance: Hybrid,AVB,BIIB,W01_ADV
1,2021-07-02,Advance: Hybrid,BIIB,BXP,W01_ADV
1,2021-07-02,Advance: Copula,AMZN,LNT,W01_ADV
1,2021-07-02,Advance: Copula,ADBE,LNT,W01_ADV
1,2021-07-02,Advance: Copula,AKAM,CNC,W01_ADV
1,2021-07-02,Advance: Copula,ADBE,AEE,W01_ADV
1,2021-07-02,Advance: Copula,ACGL,CDNS,W01_ADV
1,2021-07-02,Advance: Copula,AEP,APP,W01_ADV
1,2021-07-02,Advance: Copula,ADBE,AEP,W01_ADV
1,2021-07-02,Advance: Copula,AMZN,T,W01_ADV
1,2021-07-02,Advance: Copula,ADBE,T,W01_ADV
1,2021-07-02,Advance: Copula,AMZN,COR,W01_ADV
1,2021-07-02,Advance: Copula,APP,CPB,W01_ADV
1,2021-07-02,Advance: Copula,APP,ATO,W01_ADV
1,2021-07-02,Advance: Copula,AMZN,CAH,W01_ADV
1,2021-07-02,Advance: Copula,ADBE,COR,W01_ADV
1,2021-07-02,Advance: Copula,APP,T,W01_ADV
1,2021-07-02,Advance: Copula,ADBE,CAH,W01_ADV
1,2021-07-02,Advance: Copula,APP,CBOE,W01_ADV
1,2021-07-02,Advance: Copula,AMZN,MMM,W01_ADV
1,2021-07-02,Advance: Copula,BIIB,BSX,W01_ADV
1,2021-07-02,Advance: Copula,ADBE,MMM,W01_ADV
1,2021-07-02,ML: RandomForest,AMZN,LNT,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,T,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,COR,W01_ML:
1,2021-07-02,ML: RandomForest,APP,CPB,W01_ML:
1,2021-07-02,ML: RandomForest,APP,ATO,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,CAH,W01_ML:
1,2021-07-02,ML: RandomForest,APP,T,W01_ML:
1,2021-07-02,ML: RandomForest,APP,CBOE,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,MMM,W01_ML:
1,2021-07-02,ML: RandomForest,BIIB,BSX,W01_ML:
1,2021-07-02,ML: RandomForest,APP,LNT,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,MO,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,AVB,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,BXP,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,CPT,W01_ML:
1,2021-07-02,ML: RandomForest,APP,COR,W01_ML:
1,2021-07-02,ML: RandomForest,APP,AZO,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,ATO,W01_ML:
1,2021-07-02,ML: RandomForest,AMZN,BK,W01_ML:
1,2021-07-02,ML: RandomForest,APP,AVB,W01_ML:
1,2021-07-02,ML: MLP,AMZN,BXP,W01_ML:
1,2021-07-02,ML: MLP,BIIB,BXP,W01_ML:
1,2021-07-02,ML: MLP,AMZN,BK,W01_ML:
1,2021-07-02,ML: MLP,BIIB,BK,W01_ML:
1,2021-07-02,ML: MLP,ABNB,ALL,W01_ML:
1,2021-07-02,ML: MLP,AMZN,CF,W01_ML:
1,2021-07-02,ML: MLP,BIIB,CCL,W01_ML:
1,2021-07-02,ML: MLP,AMZN,CAT,W01_ML:
1,2021-07-02,ML: MLP,AMD,BK,W01_ML:
1,2021-07-02,ML: MLP,AMD,T,W01_ML:
1,2021-07-02,ML: MLP,BIIB,SCHW,W01_ML:
1,2021-07-02,ML: MLP,CVNA,MMM,W01_ML:
1,2021-07-02,ML: MLP,BIIB,COF,W01_ML:
2,2021-12-31,Basic: Distance,AMZN,BDX,W02_BAS
2,2021-12-31,Basic: Distance,AMZN,ATO,W02_BAS
2,2021-12-31,Basic: Distance,AMZN,BAX,W02_BAS
2,2021-12-31,Basic: Distance,AMZN,BMY,W02_BAS
2,2021-12-31,Basic: Distance,AIZ,AMT,W02_BAS
2,2021-12-31,Basic: Distance,ABT,ACGL,W02_BAS
2,2021-12-31,Basic: Distance,ADI,LNT,W02_BAS
2,2021-12-31,Basic: Distance,BDX,BKNG,W02_BAS
2,2021-12-31,Basic: Distance,ATO,BKNG,W02_BAS
2,2021-12-31,Basic: Distance,ADI,AEE,W02_BAS
2,2021-12-31,Basic: Distance,AES,MMM,W02_BAS
2,2021-12-31,Basic: Distance,AEE,BKNG,W02_BAS
2,2021-12-31,Basic: Distance,BA,BAX,W02_BAS
2,2021-12-31,Basic: Distance,AMZN,CAH,W02_BAS
2,2021-12-31,Basic: Distance,AMZN,T,W02_BAS
2,2021-12-31,Basic: Distance,BALL,CPB,W02_BAS
2,2021-12-31,Basic: Distance,ALGN,LNT,W02_BAS
2,2021-12-31,Basic: Distance,AMZN,MMM,W02_BAS
2,2021-12-31,Basic: Distance,ACGL,AMZN,W02_BAS
2,2021-12-31,Basic: Distance,ADSK,ATO,W02_BAS
2,2021-12-31,Basic: Cointegration,BDX,BKNG,W02_BAS
2,2021-12-31,Basic: Cointegration,ADSK,CPB,W02_BAS
2,2021-12-31,Basic: Cointegration,AES,AKAM,W02_BAS
2,2021-12-31,Basic: Cointegration,APTV,AWK,W02_BAS
2,2021-12-31,Basic: Cointegration,BDX,XYZ,W02_BAS
2,2021-12-31,Basic: Cointegration,ABT,T,W02_BAS
2,2021-12-31,Basic: Cointegration,AES,CPB,W02_BAS
2,2021-12-31,Basic: Cointegration,ADI,T,W02_BAS
2,2021-12-31,Basic: Cointegration,BDX,BKR,W02_BAS
2,2021-12-31,Basic: Cointegration,BBY,BDX,W02_BAS
2,2021-12-31,Basic: Cointegration,BDX,CCL,W02_BAS
2,2021-12-31,Basic: Cointegration,ABNB,BMY,W02_BAS
2,2021-12-31,Basic: Cointegration,ADI,CPB,W02_BAS
2,2021-12-31,Basic: Cointegration,ABNB,ALL,W02_BAS
2,2021-12-31,Basic: Cointegration,CAT,CPB,W02_BAS
2,2021-12-31,Basic: Cointegration,BDX,CVNA,W02_BAS
2,2021-12-31,Basic: Cointegration,AXON,CAT,W02_BAS
2,2021-12-31,Basic: Cointegration,BDX,BK,W02_BAS
2,2021-12-31,Basic: Cointegration,APTV,CPB,W02_BAS
2,2021-12-31,Basic: Cointegration,AMD,T,W02_BAS
2,2021-12-31,Advance: SVM,AXON,CNC,W02_ADV
2,2021-12-31,Advance: SVM,AXON,BAC,W02_ADV
2,2021-12-31,Advance: SVM,CRL,MMM,W02_ADV
2,2021-12-31,Advance: SVM,BG,CPB,W02_ADV
2,2021-12-31,Advance: SVM,AXON,MO,W02_ADV
2,2021-12-31,Advance: SVM,BAC,BDX,W02_ADV
2,2021-12-31,Advance: SVM,AMD,ATO,W02_ADV
2,2021-12-31,Advance: SVM,BIIB,BRO,W02_ADV
2,2021-12-31,Advance: SVM,ALB,ATO,W02_ADV
2,2021-12-31,Advance: SVM,AIG,AMZN,W02_ADV
2,2021-12-31,Advance: SVM,ABNB,CNC,W02_ADV
2,2021-12-31,Advance: SVM,APP,MO,W02_ADV
2,2021-12-31,Advance: SVM,AMD,BAX,W02_ADV
2,2021-12-31,Advance: SVM,ADBE,MMM,W02_ADV
2,2021-12-31,Advance: SVM,AXON,AZO,W02_ADV
2,2021-12-31,Advance: SVM,CF,CPB,W02_ADV
2,2021-12-31,Advance: SVM,AMD,MMM,W02_ADV
2,2021-12-31,Advance: SVM,AVY,CPB,W02_ADV
2,2021-12-31,Advance: SVM,ALB,BAX,W02_ADV
2,2021-12-31,Advance: SVM,CVNA,MO,W02_ADV
2,2021-12-31,Advance: Hybrid,AMZN,ATO,W02_ADV
2,2021-12-31,Advance: Hybrid,ADI,LNT,W02_ADV
2,2021-12-31,Advance: Hybrid,BDX,BKNG,W02_ADV
2,2021-12-31,Advance: Hybrid,ADSK,CPB,W02_ADV
2,2021-12-31,Advance: Hybrid,ADI,AEE,W02_ADV
2,2021-12-31,Advance: Hybrid,AMT,BK,W02_ADV
2,2021-12-31,Advance: Hybrid,ABT,BKR,W02_ADV
2,2021-12-31,Advance: Hybrid,BA,CPB,W02_ADV
2,2021-12-31,Advance: Hybrid,BKNG,CPB,W02_ADV
2,2021-12-31,Advance: Hybrid,AMZN,T,W02_ADV
2,2021-12-31,Advance: Hybrid,APTV,LNT,W02_ADV
2,2021-12-31,Advance: Hybrid,BKR,LNT,W02_ADV
2,2021-12-31,Advance: Hybrid,BA,BDX,W02_ADV
2,2021-12-31,Advance: Hybrid,APTV,AWK,W02_ADV
2,2021-12-31,Advance: Hybrid,AWK,BKR,W02_ADV
2,2021-12-31,Advance: Hybrid,AEE,BKR,W02_ADV
2,2021-12-31,Advance: Hybrid,ADBE,ALL,W02_ADV
2,2021-12-31,Advance: Hybrid,T,XYZ,W02_ADV
2,2021-12-31,Advance: Hybrid,AKAM,CNC,W02_ADV
2,2021-12-31,Advance: Hybrid,ADI,ATO,W02_ADV
2,2021-12-31,Advance: Copula,AMZN,BDX,W02_ADV
2,2021-12-31,Advance: Copula,AMZN,ATO,W02_ADV
2,2021-12-31,Advance: Copula,AMZN,BAX,W02_ADV
2,2021-12-31,Advance: Copula,AMZN,BMY,W02_ADV
2,2021-12-31,Advance: Copula,AIZ,AMT,W02_ADV
2,2021-12-31,Advance: Copula,ABT,ACGL,W02_ADV
2,2021-12-31,Advance: Copula,ADI,LNT,W02_ADV
2,2021-12-31,Advance: Copula,BDX,BKNG,W02_ADV
2,2021-12-31,Advance: Copula,ATO,BKNG,W02_ADV
2,2021-12-31,Advance: Copula,ADI,AEE,W02_ADV
