視窗代碼,交易起始日,交易結束日,分配資金(USD),視窗總損益(USD),視窗報酬率(%),年化報酬率(CAGR %),夏普率(Sharpe),涵蓋產業,入選配對數量,配對清單 (含產業)
W265,2022-01-26,2022-07-27,1000.0,-37.45,-3.74,-7.37,-2.219,"Real Estate, Utilities",5,"D-PPL [Utilities], AEE-ETR [Utilities], D-WEC [Utilities], AEP-D [Utilities], AVB-EQR [Real Estate]"
W266,2022-02-24,2022-08-24,1000.0,-23.27,-2.33,-4.64,-1.377,"Utilities, Industrials",5,"AEP-DTE [Utilities], CMS-DTE [Utilities], AEE-ETR [Utilities], AME-ITW [Industrials], ADP-FAST [Industrials]"
W267,2022-03-24,2022-09-22,1000.0,-26.09,-2.61,-5.16,-1.472,"Real Estate, Financials, Utilities, Industrials",5,"AEP-DTE [Utilities], CMS-DTE [Utilities], ADP-FAST [Industrials], AMT-EQIX [Real Estate], ACGL-EG [Financials]"
W268,2022-04-22,2022-10-20,1000.0,-46.28,-4.63,-9.11,-2.676,"Utilities, Health Care",5,"AEP-DTE [Utilities], AEE-ETR [Utilities], ETR-SO [Utilities], COO-SYK [Health Care], CMS-DTE [Utilities]"
W269,2022-05-20,2022-11-17,1000.0,-49.79,-4.98,-9.79,-2.596,"Utilities, Materials",5,"CMS-DTE [Utilities], D-DTE [Utilities], AEE-ETR [Utilities], DOW-LYB [Materials], ETR-SO [Utilities]"
W270,2022-06-21,2022-12-16,1000.0,-53.76,-5.38,-10.71,-2.935,"Financials, Utilities, Consumer Staples",5,"AEE-ETR [Utilities], MDLZ-SJM [Consumer Staples], NDAQ-SPGI [Financials], ACGL-EG [Financials], FE-PEG [Utilities]"
W271,2022-07-20,2023-01-18,1000.0,-28.22,-2.82,-5.58,-1.439,"Financials, Industrials, Communication Services",5,"L-TRV [Financials], ITW-PH [Industrials], ACGL-EG [Financials], NDAQ-SPGI [Financials], GOOG-GOOGL [Communication Services]"
W272,2022-08-17,2023-02-15,1000.0,-34.61,-3.46,-6.82,-2.419,"Financials, Utilities, Industrials, Communication Services",5,"GOOG-GOOGL [Communication Services], AEE-DUK [Utilities], CB-L [Financials], HBAN-PNC [Financials], LDOS-LHX [Industrials]"
W273,2022-09-15,2023-03-16,1000.0,-4.84,-0.48,-0.97,-0.369,"Utilities, Industrials, Communication Services",5,"GOOG-GOOGL [Communication Services], NWS-NWSA [Communication Services], SO-WEC [Utilities], ITW-PH [Industrials], AEE-XEL [Utilities]"
W274,2022-10-13,2023-04-14,1000.0,-23.5,-2.35,-4.63,-2.436,"Utilities, Industrials, Communication Services",5,"GOOG-GOOGL [Communication Services], NWS-NWSA [Communication Services], DTE-PNW [Utilities], CMS-PNW [Utilities], RSG-WM [Industrials]"
W275,2022-11-10,2023-05-12,1000.0,-12.96,-1.3,-2.57,-0.733,"Financials, Industrials, Communication Services",5,"FOX-FOXA [Communication Services], RSG-WM [Industrials], MA-V [Financials], NTRS-USB [Financials], BAC-STT [Financials]"
W276,2022-12-09,2023-06-12,1000.0,-0.93,-0.09,-0.18,-0.097,"Real Estate, Utilities, Communication Services",5,"GOOG-GOOGL [Communication Services], NWS-NWSA [Communication Services], CMS-DUK [Utilities], FOX-FOXA [Communication Services], CPT-UDR [Real Estate]"
W277,2023-01-10,2023-07-12,1000.0,4.75,0.48,0.95,0.155,"Real Estate, Financials, Utilities, Communication Services",5,"GOOG-GOOGL [Communication Services], NWS-NWSA [Communication Services], CMS-DUK [Utilities], CPT-UDR [Real Estate], NTRS-USB [Financials]"
W278,2023-02-08,2023-08-09,1000.0,-28.26,-2.83,-5.59,-2.364,"Financials, Utilities, Industrials, Communication Services",5,"NWS-NWSA [Communication Services], GOOG-GOOGL [Communication Services], CB-HIG [Financials], CMS-EXC [Utilities], FTV-NDSN [Industrials]"
W279,2023-03-09,2023-09-07,1000.0,1.12,0.11,0.22,0.083,"Utilities, Communication Services",5,"GOOG-GOOGL [Communication Services], NWS-NWSA [Communication Services], AEP-XEL [Utilities], AEE-AEP [Utilities], CMS-DUK [Utilities]"
W280,2023-04-06,2023-10-05,1000.0,-42.61,-4.26,-8.36,-3.185,"Financials, Utilities, Industrials",5,"AEP-XEL [Utilities], PAYX-UNP [Industrials], AEE-XEL [Utilities], AEP-CNP [Utilities], HIG-TRV [Financials]"
W281,2023-05-05,2023-11-02,1000.0,-17.4,-1.74,-3.48,-0.971,"Consumer Staples, Utilities, Industrials, Communication Services",5,"NWS-NWSA [Communication Services], AEE-XEL [Utilities], PAYX-UNP [Industrials], KMB-KO [Consumer Staples], STZ-SYY [Consumer Staples]"
W282,2023-06-05,2023-12-01,1000.0,-43.48,-4.35,-8.67,-2.671,"Real Estate, Utilities, Industrials, Consumer Staples",5,"AEE-XEL [Utilities], AVB-INVH [Real Estate], EVRG-WEC [Utilities], CMI-IEX [Industrials], KMB-PG [Consumer Staples]"
W283,2023-07-05,2024-01-02,1000.0,-23.06,-2.31,-4.6,-0.72,"Health Care, Real Estate, Financials, Industrials, Consumer Staples",5,"AVB-INVH [Real Estate], KMB-PG [Consumer Staples], ALL-WRB [Financials], PAYX-UNP [Industrials], INCY-WAT [Health Care]"
W284,2023-08-02,2024-01-31,1000.0,14.36,1.44,2.9,0.399,"Financials, Utilities, Industrials, Information Technology",5,"PAYX-UNP [Industrials], AWK-PPL [Utilities], IR-SNA [Industrials], SYF-WFC [Financials], ADSK-CTSH [Information Technology]"
W285,2023-08-30,2024-02-29,1000.0,-52.49,-5.25,-10.2,-2.044,"Real Estate, Financials, Utilities, Industrials",5,"EVRG-LNT [Utilities], AVB-INVH [Real Estate], AON-V [Financials], PRU-RJF [Financials], CMI-DE [Industrials]"
W286,2023-09-28,2024-03-28,1000.0,-10.85,-1.08,-2.16,-0.497,"Financials, Real Estate, Utilities",5,"AVB-INVH [Real Estate], EVRG-WEC [Utilities], EVRG-LNT [Utilities], CMS-EVRG [Utilities], FITB-HBAN [Financials]"
W287,2023-10-26,2024-04-26,1000.0,-25.86,-2.59,-5.09,-1.303,"Health Care, Real Estate, Utilities, Financials, Industrials",5,"CNP-LNT [Utilities], AVB-INVH [Real Estate], CAH-COR [Health Care], MAS-SWK [Industrials], SYF-WFC [Financials]"
