Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Vol_Adjust,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,60,NoVolAdj,9445.584,-0.055312753,-0.014124632,-1.0601926213194592,-0.078614175,2010,843,1987.1865234375,-2541.60302734375,4075,0.27312883435582824,0.7818634547009982,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,20,NoVolAdj,8597.259,-0.13974398,-0.03693205,-2.92057243525066,-0.14270994,3562,578,2750.890380859375,-4153.630859375,7149,0.3127710169254441,0.6622857143528887,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin20_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,60,NoVolAdj,9406.094,-0.058961093,-0.015077889,-1.3664260348673782,-0.07672869,1977,861,1858.462158203125,-2452.36767578125,4029,0.2705385951849094,0.7578236234952311,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,0,NoVolAdj,9407.3545,-0.05805713,-0.014841437,-1.3341501198695631,-0.05925485,480,308,1120.748779296875,-1713.3941650390625,971,0.2121524201853759,0.6541103046602962,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,0,NoVolAdj,9436.303,-0.056478262,-0.014428854,-2.2640964033816875,-0.06040008,2578,1621,1276.474609375,-1840.17138671875,5222,0.23362696284948295,0.6936715887377805,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.15,0,NoVolAdj,9386.644,-0.060557306,-0.015495777,-1.5232974169985982,-0.06835058,2020,1233,1270.42236328125,-1883.77880859375,4115,0.21992709599027946,0.6744010270662437,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL15_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,0,NoVolAdj,9400.549,-0.059165478,-0.015131354,-1.5764741984049941,-0.06748997,2009,1233,1251.2628173828125,-1850.71435546875,4093,0.2154898607378451,0.676097212779166,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,20,NoVolAdj,8696.245,-0.12927908,-0.03401643,-3.0865469141572484,-0.1308165,3033,651,2166.228759765625,-3469.984375,6099,0.2975897688145598,0.6242762288419886,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,0,NoVolAdj,9372.958,-0.06328833,-0.016212106,-1.5374247343467695,-0.065319754,393,266,1026.39306640625,-1653.435546875,795,0.20628930817610064,0.6207638806037146,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,0,VolAdj,9399.88,-0.06251842,-0.016009986,-1.3396307417555477,-0.06880204,377,251,1103.113037109375,-1703.2332763671875,763,0.20314547837483618,0.6476582229899805,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin0_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,20,VolAdj,8793.261,-0.119968235,-0.03144431,-3.444974201602184,-0.12248893,3023,803,2132.9267578125,-3339.666748046875,6091,0.30651781316696763,0.6386645491080485,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin20_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,20,NoVolAdj,8489.409,-0.15112084,-0.040132105,-1.786892995986068,-0.15492931,983,156,2923.93896484375,-4434.52978515625,1965,0.2916030534351145,0.659357159947619,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,60,NoVolAdj,9377.091,-0.06180334,-0.01582241,-1.3504164026363534,-0.07855776,1910,929,1746.8369140625,-2369.745849609375,3882,0.2660999484801649,0.7371410374451951,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,20,NoVolAdj,8497.881,-0.14893502,-0.03951478,-1.9106449487290695,-0.15084764,892,75,2730.69091796875,-4232.81005859375,1787,0.2915500839395635,0.6451248414572037,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin20_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,20,VolAdj,8516.559,-0.14706421,-0.0389874,-1.9153914801399141,-0.14897378,892,65,2690.609375,-4174.04931640625,1786,0.29227323628219487,0.644604117259579,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin20_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,60,NoVolAdj,9350.198,-0.06404024,-0.016409576,-1.7264615162491108,-0.079313256,1895,952,1668.867919921875,-2318.67041015625,3876,0.2626418988648091,0.7197521099212258,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),20,0.05,60,VolAdj,9361.943,-0.0628646,-0.016100824,-1.6065506313855815,-0.07355069,2273,1236,1791.852294921875,-2429.90869140625,4625,0.2644324324324324,0.7374154844826225,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top20_SL5_ZWin60_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,60,NoVolAdj,9132.002,-0.087587655,-0.022655249,-1.2438450660549916,-0.11495469,402,150,1716.88525390625,-2584.88330078125,815,0.26012269938650306,0.6642022304787771,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,60,VolAdj,9322.717,-0.068896115,-0.017687798,-0.7373517436481596,-0.106608704,451,131,1954.0682373046875,-2631.35107421875,909,0.2706270627062706,0.7426102341303323,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin60_VolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.0,60,NoVolAdj,9306.168,-0.07054949,-0.018124163,-1.0824935227742452,-0.09678537,415,155,1745.746337890625,-2439.57861328125,838,0.25894988066825775,0.7155933932141602,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL0_ZWin60_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,0,NoVolAdj,9372.958,-0.06328833,-0.016212106,-1.5374247343467695,-0.065319754,393,266,1026.39306640625,-1653.435546875,795,0.20628930817610064,0.6207638806037146,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin0_NoVolAdj.csv
Current,NoReEntry,HDBSCAN (AE PCA),5,0.15,0,VolAdj,9399.88,-0.06251842,-0.016009986,-1.3396307417555477,-0.06880204,377,251,1103.113037109375,-1703.2332763671875,763,0.20314547837483618,0.6476582229899805,current/HDBSCAN_AE_PCA_NoReEntry/HDBSCAN_AE_PCA_TradeLogs_Top5_SL15_ZWin0_VolAdj.csv
