Date,Equity,Daily_Return,Drawdown
2021-05-13,10003.3495,-0.00035512485021338414,-0.009028109174400889
2021-05-14,10009.2748,0.000592331598531004,-0.0084411252102089
2021-05-17,10005.2081,-0.00040629317120954855,-0.008843988809888126
2021-05-18,10009.3094,0.0004099165113817804,-0.008437697595546134
2021-05-19,10010.6411,0.0001330461420245843,-0.00830577405663413
2021-05-20,10011.5949,9.527861307501162e-05,-0.008211286806191764
2021-05-21,10009.3038,-0.00022884465690875544,-0.008438252353988651
2021-05-24,10008.7579,-5.4539257765329197e-05,-0.008492331395733688
2021-05-25,10015.2021,0.0006438561172510404,-0.007853943118001472
2021-05-26,10011.2102,-0.00039858406851334127,-0.008249396729912983
2021-05-27,10016.7427,0.0005526304901679602,-0.007701325107903334
2021-05-28,10017.2077,4.642227657503106e-05,-0.007655260344372472
2021-06-01,10011.1854,-0.0006011954808524678,-0.008251853517301178
2021-06-02,10011.6577,4.7177230380723856e-05,-0.008205065586515015
2021-06-03,9999.4463,-0.0012197180892431492,-0.00941477580883876
2021-06-04,10000.7092,0.0001262969930644342,-0.009289667873649377
2021-06-07,10002.0173,0.00013080072361271178,-0.009160082245316614
2021-06-08,9992.0712,-0.000994409397792051,-0.010145382771239442
2021-06-09,9984.9385,-0.000713835986276834,-0.010851976618199588
2021-06-10,9983.9516,-9.883886615824622e-05,-0.010949742887293334
2021-06-11,9985.5168,0.00015677159332372348,-0.010794687902608513
2021-06-14,9983.7812,-0.00017381173501207492,-0.010966623394187303
2021-06-15,9979.8427,-0.0003944898151414522,-0.01135678698809317
2021-06-16,9966.3914,-0.0013478468954224443,-0.0126893266734317
2021-06-17,9971.7514,0.0005378074956998713,-0.012158343592732157
2021-06-18,9965.4051,-0.0006364278194901374,-0.012787033504120915
2021-06-21,9963.4756,-0.00019361982585131,-0.012978177506772104
2021-06-22,9966.6258,0.00031617480952128574,-0.012666106070051919
2021-06-23,9964.9142,-0.0001717331456350113,-0.012835664025448557
2021-06-24,9961.8652,-0.00030597353261696547,-0.013137710184600193
2021-06-25,9954.8061,-0.0007086122787528515,-0.013837012920601466
2021-06-28,9956.1503,0.00013503025438121874,-0.013703851081594776
2021-06-29,9958.9575,0.0002819563702247674,-0.01342575859947892
2021-06-30,9964.8702,0.0005937067208088287,-0.01284002284178265
2021-07-01,9967.47,0.0002608965242718586,-0.012582476234841766
2021-07-02,9950.2218,-0.0017304491510884423,-0.014291152050611156
2021-07-06,9950.7965,5.775750647085687e-05,-0.014234219965447159
