Window_Start,Window_End,Sector,Stock_A,Stock_B,p_value,alpha,beta,Std
2012-01-10,2012-07-10,Utilities,ED,NI,1.0313987458754543e-05,1.9365952063942218,0.9256723209938795,0.015127652435839667
2012-01-10,2012-07-10,Financials,KKR,PGR,1.4110950356111251e-05,-3.6252247962470703,2.3070499213463944,0.05493811280134491
2012-01-10,2012-07-10,Health Care,A,UHS,1.7385601162672977e-05,-0.4874659957551783,1.0074598365571805,0.046406384033901696
2012-01-10,2012-07-10,Industrials,EME,GD,1.8933459420444304e-05,-3.257008337038222,1.6633163354425449,0.03301132878814516
2012-01-10,2012-07-10,Consumer Staples,DG,KMB,2.714277918519591e-05,-4.931274209632644,2.269575132251526,0.039967532264339994
2012-02-09,2012-08-08,Communication Services,GOOGL,GOOG,2.310236358476033e-26,0.004687258601473954,0.9999999573718008,8.58246949789515e-08
2012-02-09,2012-08-08,Information Technology,CSCO,KLAC,9.11073815891372e-09,0.05810671425559277,0.726801073237755,0.03674518967356723
2012-02-09,2012-08-08,Utilities,NI,SO,2.3120814411961877e-07,-1.7974501610216995,1.1119243662555904,0.015264983485465133
2012-02-09,2012-08-08,Consumer Staples,CHD,DG,2.969100219240366e-07,1.0632527898220379,0.5182121346144168,0.02064433251385675
2012-02-09,2012-08-08,Industrials,MMM,IEX,4.675077211787051e-07,1.4861665608740762,0.6766645577194106,0.01605393422233104
2012-02-09,2012-08-08,Financial Services,WU,FHN,1.4619751928828897e-06,1.415352118176453,0.4722788741851551,0.021737679372157193
2012-02-09,2012-08-08,Energy,TPL,NBR,1.0408296936334642e-05,-0.313181212329524,0.2559865900220434,0.03072650429138947
2012-02-09,2012-08-08,Financials,BX,KKR,2.6198888563343952e-05,0.3626914302521903,0.7628034578482552,0.03612158392023474
2012-02-09,2012-08-08,Information Technology,CSCO,TDY,3.0955349437338756e-05,-1.5150618217812175,0.9962532634093106,0.061303266438323824
2012-02-09,2012-08-08,Industrials,FAST,VRSK,3.1616436850910945e-05,-4.423941723675332,1.7782222864522446,0.03852970513326911
2012-03-12,2012-09-07,Communication Services,GOOGL,GOOG,1.638226878165012e-26,0.00468736303201861,0.9999999168538449,8.352347388964088e-08
2012-03-12,2012-09-07,Industrials,MMM,IEX,2.3931950054725878e-08,1.5364451122727223,0.6611375854105408,0.014698490643878832
2012-03-12,2012-09-07,Industrials,AME,JBHT,6.036390810787027e-07,-0.32613879902564724,0.9738856501290589,0.025435478193668266
2012-03-12,2012-09-07,Utilities,CMS,WEC,9.633261754532716e-07,-0.5011873059418147,1.0195832301501468,0.01136074027139428
2012-03-12,2012-09-07,Consumer Staples,DG,KMB,3.359837087048873e-06,-4.338791810958654,2.111179108422802,0.03204370109279087
2012-03-12,2012-09-07,Financials,COF,MET,6.215342514395246e-06,1.8619665202286528,0.5768545525248031,0.03134296757710048
2012-03-12,2012-09-07,Consumer Staples,CHD,DG,9.892338238423817e-06,0.9972333508479625,0.5386739419067109,0.021494337329727373
2012-03-12,2012-09-07,Financials,COF,KKR,1.3699468569726873e-05,2.425634433148956,0.5530506170041517,0.03303292103578278
2012-03-12,2012-09-07,Industrials,BR,JBHT,1.8895595359276203e-05,0.5573722181703022,0.6202669967919932,0.020822702062173994
2012-03-12,2012-09-07,Financials,BX,KKR,2.0209848917547223e-05,0.35919567639393857,0.7640692208926021,0.03606005590424097
2012-04-11,2012-10-08,Communication Services,GOOGL,GOOG,6.845182526605206e-27,0.004687323158590717,0.9999999322860443,8.31873386428844e-08
2012-04-11,2012-10-08,Industrials,MMM,IEX,6.188992518207158e-08,1.5450117175895457,0.6585028808978733,0.014468025505781705
2012-04-11,2012-10-08,Utilities,CMS,WEC,3.58195831391674e-07,-0.550740546630974,1.0357409881389517,0.010816244742667703
2012-04-11,2012-10-08,Information Technology,SMCI,TER,1.7653818172052357e-06,-1.3541114892926578,0.6936649145458371,0.03991488480843516
2012-04-11,2012-10-08,Health Care,JNJ,PFE,3.858563650946045e-06,3.2392921835113944,0.21952240161681458,0.019802714008642412
2012-04-11,2012-10-08,Health Care,JNJ,MOH,4.573937469131936e-06,3.5788426964658786,0.05589299246349945,0.021700468911260144
2012-04-11,2012-10-08,Health Care,JNJ,DGX,5.005607954120586e-06,3.090185175004301,0.17831595274028664,0.021484506187633274
2012-04-11,2012-10-08,Consumer Staples,DG,KMB,1.1425536679874723e-05,-4.550728873417924,2.169517387093633,0.03276254673718037
2012-04-11,2012-10-08,Health Care,JNJ,VTRS,1.3756340275495235e-05,3.4518920851020845,0.10692293397894805,0.022779800511116232
2012-04-11,2012-10-08,Health Care,JNJ,MTD,1.4218053879888806e-05,3.0565631167218523,0.13758920226119314,0.022518067259485363
2012-05-10,2012-11-08,Communication Services,GOOGL,GOOG,4.5395995586856955e-27,0.0046874203655714874,0.9999998965539587,8.246565921363538e-08
2012-05-10,2012-11-08,Industrials,MMM,IEX,1.297048537820284e-07,1.5685236601892494,0.6514295729187964,0.014432359335314414
2012-05-10,2012-11-08,Health Care,JNJ,MOH,2.7196496144125575e-06,3.5563324162389245,0.064273628741819,0.013879621902708712
2012-05-10,2012-11-08,Information Technology,SMCI,TER,6.561933362453696e-06,-1.479460666348913,0.7442992209116188,0.033137908124979014
2012-05-10,2012-11-08,Health Care,JNJ,MDT,8.27747605681657e-06,3.0598608064367627,0.2149456021093498,0.013047327754152318
2012-05-10,2012-11-08,Health Care,JNJ,DGX,1.6692251578606782e-05,3.0308552831305096,0.19509357388229048,0.01394030990932088
2012-05-10,2012-11-08,Industrials,AME,JBHT,2.7663534462470797e-05,0.09159316492073377,0.856960119459399,0.02712405835954128
2012-05-10,2012-11-08,Health Care,JNJ,VTRS,3.062022099342209e-05,3.3173386041289694,0.15602312764506504,0.013259846925421141
2012-05-10,2012-11-08,Consumer Staples,CHD,CL,3.647798527076186e-05,-2.223859000545332,1.4717805750382842,0.02280560669929324
2012-05-10,2012-11-08,Financials,SPGI,USB,3.725150136476668e-05,1.9586792020683466,0.5705359415911332,0.028287689637945646
2012-06-11,2012-12-10,Communication Services,GOOGL,GOOG,4.780031639328806e-27,0.004687402643951177,0.9999999019658258,8.101982526298378e-08
2012-06-11,2012-12-10,Industrials,MMM,IEX,1.4981216513269195e-07,1.6030547786607268,0.6411598364767439,0.014429517027977224
2012-06-11,2012-12-10,Health Care,JNJ,MOH,4.418725529798446e-06,3.5591612383356788,0.06315520868114372,0.014161732095455822
2012-06-11,2012-12-10,Industrials,BR,J,4.627146570234605e-06,0.6308714210826194,0.6425157479006827,0.019754050023201058
2012-06-11,2012-12-10,Financials,MCO,TROW,5.789327674601997e-06,-0.6590655434753493,1.1505400240335815,0.0385959613107707
