Dataset,ReEntry,Method,Top_N,Stop_Loss,Z_Window,Final_Equity,Cum_Ret,Ann_Ret,Sharpe,MDD,Entries,Stop_Losses,Gross_Profit,Gross_Loss,Total_Trades,Win_Rate,Profit_Factor,_path
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.15,20,8486.107,-0.14805287,-0.03926599,-2.242211063183823,-0.1541558,882,87,2396.96728515625,-3910.86083984375,1765,0.29688385269121814,0.6129001729583443,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.15,60,8998.264,-0.0984813,-0.025585592,-1.75187190328744,-0.10262935,411,156,1452.6842041015625,-2454.419921875,829,0.25331724969843183,0.5918645750690519,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.15,20,8611.305,-0.13722712,-0.03622842,-2.886632014128705,-0.14160998,3640,569,2493.80859375,-3882.504638671875,7297,0.3013567219405235,0.6423195400490443,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL15_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.15,60,9295.855,-0.07091814,-0.018221557,-1.5857871022725123,-0.07842446,2137,940,1724.090576171875,-2428.234375,4339,0.26204194514865176,0.7100181901394403,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL15_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.05,20,8792.835,-0.118263304,-0.03097558,-3.3057566173675283,-0.1242175,3113,770,1997.554931640625,-3204.720458984375,6260,0.2952076677316294,0.6233164349921743,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.05,20,8716.6,-0.123260856,-0.032351553,-2.3714481095921065,-0.1327686,736,116,1913.4537353515625,-3196.85400390625,1474,0.28968792401628224,0.5985427338919779,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL5_ZWin20.csv
Current,NoReEntry,HDBSCAN (PCA),10,0.0,0,9921.183,-0.0076740384,-0.0020987988,-0.5524657343307032,-0.009632686,415,263,310.7958984375,-389.6128845214844,844,0.22393364928909953,0.7977043644724788,current/HDBSCAN_PCA_NoReEntry/HDBSCAN_PCA_TradeLogs_Top10_SL0_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE UMAP),5,0.05,0,9493.839,-0.04778737,-0.012167096,-1.3646149982747242,-0.06476217,370,205,948.59814453125,-1454.759521484375,750,0.216,0.652065259255592,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top5_SL5_ZWin0.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.05,60,9404.296,-0.059947968,-0.0153362155,-1.5364573058660074,-0.0681957,2060,1027,1625.7969970703125,-2221.50048828125,4190,0.26085918854415274,0.7318463379353896,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL5_ZWin60.csv
Current,NoReEntry,HDBSCAN (AE UMAP),20,0.05,0,9579.479,-0.04087907,-0.010380268,-1.1016359596336285,-0.057205,2381,1364,1389.8001708984375,-1810.3216552734375,4806,0.2363712026633375,0.7677089686520471,current/HDBSCAN_AE_UMAP_NoReEntry/HDBSCAN_AE_UMAP_TradeLogs_Top20_SL5_ZWin0.csv
